Country,Household income,Household wealth,Employment rate,Gender wage gap,Earnings,Housing affordability,Households with internet access at home ,Time off,Long unpaid working hours,Gender gap in working hours,Satisfaction with time use,Life expectancy at birth,Perceived health,"Deaths from suicide, alcohol, drugs",Student skills (reading),Student skills (maths),Student skills (science),Social support,Time spent in social interactions,Satisfaction with personal relationships,Voter turnout ,Homicides,Feeling safe at night,Road deaths,Life satisfaction,Negative affect balance
Australia,"35386.00","277824.00 ",77.19 ,11.70 ,"53515.00 ",80.21 ,,,,,,82.80 ,,,502.63 ,491.36 ,502.96 ,93.28 ,,,,0.90 ,64.92 ,4.54 ,,10.72
Austria,"33661.00 ",,77.18 ,14.90 ,"53325.00 ",79.10 ,87.69 ,,,,7.30 ,81.80 ,71.70 ,,484.39 ,498.94 ,489.78 ,90.56 ,,8.58 ,,0.60 ,83.64 ,4.64 ,8.00 ,14.05
Belgium,"31625.00 ",,72.98 ,3.40 ,"55388.00 ",79.78 ,83.73 ,,,,7.01 ,81.70 ,74.90 ,,492.86 ,508.07 ,498.77 ,92.11 ,,7.92 ,,,64.77 ,5.30 ,7.60 ,16.09
Belgium-Flanders,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"31170.00 ",,77.19 ,18.50 ,"53730.00 ",77.42 ,88.20 ,,,,,82.00 ,88.60 ,,520.09 ,512.02 ,518.00 ,91.73 ,,,,,82.14 ,5.23 ,8.10 ,11.86
Chile,,,72.58 ,,"28574.00 ",81.58 ,,,,,,80.40 ,,,452.27 ,417.41 ,443.58 ,88.75 ,,,,2.40 ,47.39 ,10.54 ,,13.75
Colombia,,,74.86 ,5.80 ,,,,,,,,76.50 ,80.60 ,,412.30 ,390.93 ,413.32 ,86.59 ,,,49.00 ,,48.20 ,13.74 ,8.26 ,13.37
Costa Rica,,,69.65 ,4.70 ,,,,,,,,80.40 ,,,,,,86.90 ,,,65.56 ,,43.55 ,,,12.69
Czech Republic,"23619.00 ",,82.51 ,15.10 ,"29421.00 ",76.05 ,85.77 ,,,,6.87 ,79.10 ,62.00 ,,490.22 ,499.47 ,496.79 ,91.69 ,,8.30 ,,0.50 ,72.39 ,6.20 ,7.44 ,12.28
Denmark,"30423.00 ",,79.11 ,4.90 ,"57794.00 ",76.31 ,90.30 ,,,,7.53 ,81.00 ,71.10 ,,501.13 ,509.40 ,492.64 ,95.67 ,,8.24 ,,0.50 ,87.06 ,2.96 ,7.76 ,8.20
Estonia,"20880.00 ",,80.43 ,17.30 ,"27920.00 ",83.05 ,89.29 ,,,,6.95 ,78.40 ,51.60 ,27.48 ,523.02 ,523.41 ,530.11 ,91.22 ,,7.89 ,,2.00 ,74.89 ,,7.01 ,9.95
Finland,"30227.00 ",,78.05 ,18.90 ,"45771.00 ",76.84 ,93.00 ,,,,7.78 ,81.80 ,68.80 ,,520.08 ,507.30 ,521.88 ,95.93 ,,8.42 ,,1.20 ,87.57 ,4.34 ,8.12 ,7.92
France,"31403.00 ",,73.47 ,11.80 ,"46867.00 ",79.25 ,81.31 ,,,,6.92 ,82.80 ,67.50 ,,492.61 ,495.41 ,492.98 ,91.38 ,,7.94 ,,,73.48 ,5.02 ,7.25 ,17.03
Germany,"34800.00 ",,81.30 ,15.30 ,"53221.00 ",80.02 ,90.25 ,,,,6.69 ,81.00 ,65.50 ,,498.28 ,500.04 ,502.99 ,90.82 ,,7.88 ,,0.40 ,74.46 ,3.96 ,7.40 ,12.49
Greece,"18423.00 ","92918.00 ",62.29 ,5.90 ,"26680.00 ",77.42 ,76.13 ,,,,5.55 ,81.90 ,76.20 ,,457.41 ,451.37 ,451.63 ,78.95 ,,7.08 ,,1.00 ,57.49 ,6.52 ,6.44 ,17.50
Hungary,"20234.00 ",,76.97 ,5.10 ,"23721.00 ",81.30 ,82.87 ,,,,6.37 ,76.20 ,60.60 ,,475.99 ,481.08 ,480.91 ,93.51 ,,7.58 ,69.67 ,1.10 ,65.26 ,6.48 ,6.51 ,17.21
